Year,State,District,Crop,Area_ha,Irrigation_Days,Pump_Type,Water_L_per_ha_day,Efficiency,Total_Water_Used_L,Carbon_Emissions_kg,Solar_Used
2016,Haryana,Panipat,Wheat,11,164,Diesel,5000,1.0,9020000.0,24173.600000000002,0
2023,Haryana,Rohtak,Wheat,37,115,Diesel,5000,1.0,21275000.0,57017.0,0
2020,Punjab,Bathinda,Cotton,25,62,Diesel,7000,1.0,10850000.0,29078.0,0
2017,Punjab,Ludhiana,Sugarcane,41,139,Diesel,18000,1.0,102582000.0,274919.76,0
2017,Haryana,Rohtak,Sugarcane,19,133,Electric,18000,0.8,36388800.0,54583.200000000004,0
2019,Haryana,Hisar,Cotton,24,86,Diesel,7000,1.0,14448000.0,38720.64,0
2020,Haryana,Rohtak,Paddy,29,61,Diesel,15000,1.0,26535000.0,71113.8,0
2023,Punjab,Bathinda,Mustard,43,93,Diesel,4500,1.0,17995500.0,48227.94,0
2016,Punjab,Bathinda,Paddy,11,174,Diesel,15000,1.0,28710000.0,76942.8,0
2019,Haryana,Karnal,Mustard,37,174,Electric,4500,0.8,23176800.0,34765.2,0
2019,Haryana,Karnal,Maize,44,143,Diesel,4000,1.0,25168000.0,67450.24,0
2019,Punjab,Bathinda,Maize,47,113,Solar,4000,0.6,12746400.0,0.0,1
2017,Haryana,Rohtak,Sugarcane,47,153,Electric,18000,0.8,103550400.0,155325.59999999998,0
2020,Haryana,Panipat,Cotton,38,101,Diesel,7000,1.0,26866000.0,72000.88,0
2021,Punjab,Bathinda,Cotton,25,102,Electric,7000,0.8,14280000.0,21420.0,0
2021,Punjab,Bathinda,Sugarcane,43,129,Solar,18000,0.6,59907600.0,0.0,1
2016,Haryana,Karnal,Paddy,16,94,Electric,15000,0.8,18048000.0,27072.0,0
2016,Punjab,Ludhiana,Cotton,16,165,Diesel,7000,1.0,18480000.0,49526.4,0
2017,Punjab,Jalandhar,Cotton,15,172,Electric,7000,0.8,14448000.0,21672.0,0
2023,Punjab,Patiala,Maize,24,70,Diesel,4000,1.0,6720000.0,18009.600000000002,0
2018,Punjab,Patiala,Paddy,15,151,Diesel,15000,1.0,33975000.0,91053.0,0
2023,Punjab,Patiala,Cotton,32,89,Diesel,7000,1.0,19936000.0,53428.48,0
2022,Punjab,Amritsar,Cotton,8,75,Electric,7000,0.8,3360000.0,5040.0,0
2020,Haryana,Panipat,Maize,8,131,Diesel,4000,1.0,4192000.0,11234.560000000001,0
2023,Haryana,Hisar,Maize,23,65,Diesel,4000,1.0,5980000.0,16026.400000000001,0
2023,Haryana,Karnal,Maize,2,130,Electric,4000,0.8,832000.0,1248.0,0
2018,Punjab,Bathinda,Sugarcane,47,139,Electric,18000,0.8,94075200.0,141112.8,0
2019,Haryana,Karnal,Mustard,5,113,Electric,4500,0.8,2034000.0,3051.0,0
2018,Punjab,Bathinda,Wheat,16,91,Diesel,5000,1.0,7280000.0,19510.4,0
2023,Punjab,Ludhiana,Paddy,2,131,Electric,15000,0.8,3144000.0,4716.0,0
2017,Haryana,Karnal,Wheat,16,84,Solar,5000,0.6,4032000.0,0.0,1
2020,Punjab,Amritsar,Wheat,26,179,Solar,5000,0.6,13962000.0,0.0,1
2019,Haryana,Gurgaon,Maize,32,76,Diesel,4000,1.0,9728000.0,26071.04,0
2017,Punjab,Patiala,Mustard,48,161,Diesel,4500,1.0,34776000.0,93199.68000000001,0
2018,Haryana,Rohtak,Cotton,35,149,Electric,7000,0.8,29204000.0,43806.0,0
2016,Haryana,Rohtak,Paddy,48,74,Electric,15000,0.8,42624000.0,63936.0,0
2021,Haryana,Gurgaon,Cotton,40,163,Electric,7000,0.8,36512000.0,54768.0,0
2016,Haryana,Hisar,Paddy,6,158,Diesel,15000,1.0,14220000.0,38109.600000000006,0
2021,Haryana,Karnal,Paddy,46,125,Diesel,15000,1.0,86250000.0,231150.0,0
2018,Haryana,Hisar,Sugarcane,35,150,Electric,18000,0.8,75600000.0,113400.0,0
2016,Haryana,Rohtak,Paddy,47,102,Diesel,15000,1.0,71910000.0,192718.80000000002,0
2022,Punjab,Jalandhar,Wheat,15,60,Diesel,5000,1.0,4500000.0,12060.0,0
2022,Punjab,Jalandhar,Paddy,13,86,Diesel,15000,1.0,16770000.0,44943.600000000006,0
2019,Punjab,Jalandhar,Sugarcane,39,165,Electric,18000,0.8,92664000.0,138996.0,0
2022,Haryana,Gurgaon,Mustard,23,103,Diesel,4500,1.0,10660500.0,28570.140000000003,0
2023,Haryana,Panipat,Maize,44,166,Electric,4000,0.8,23372800.0,35059.2,0
2019,Punjab,Bathinda,Cotton,3,76,Electric,7000,0.8,1276800.0,1915.1999999999998,0
2019,Punjab,Jalandhar,Mustard,5,136,Solar,4500,0.6,1836000.0,0.0,1
2016,Haryana,Rohtak,Wheat,7,95,Diesel,5000,1.0,3325000.0,8911.0,0
2018,Haryana,Rohtak,Paddy,42,112,Solar,15000,0.6,42336000.0,0.0,1
2019,Punjab,Bathinda,Cotton,21,98,Electric,7000,0.8,11524800.0,17287.199999999997,0
2023,Punjab,Jalandhar,Paddy,3,69,Diesel,15000,1.0,3105000.0,8321.4,0
2023,Punjab,Patiala,Cotton,38,91,Diesel,7000,1.0,24206000.0,64872.08,0
2023,Punjab,Jalandhar,Wheat,44,168,Solar,5000,0.6,22176000.0,0.0,1
2020,Haryana,Karnal,Sugarcane,48,90,Diesel,18000,1.0,77760000.0,208396.80000000002,0
2019,Haryana,Hisar,Paddy,35,88,Electric,15000,0.8,36960000.0,55440.0,0
2016,Punjab,Jalandhar,Mustard,44,145,Electric,4500,0.8,22968000.0,34452.0,0
2021,Haryana,Hisar,Wheat,33,82,Diesel,5000,1.0,13530000.0,36260.4,0
2019,Punjab,Patiala,Maize,21,140,Diesel,4000,1.0,11760000.0,31516.800000000003,0
2021,Haryana,Gurgaon,Maize,16,167,Diesel,4000,1.0,10688000.0,28643.84,0
2016,Haryana,Gurgaon,Mustard,10,149,Diesel,4500,1.0,6705000.0,17969.4,0
2023,Punjab,Ludhiana,Cotton,35,118,Diesel,7000,1.0,28910000.0,77478.8,0
